resp_id,concern_text
R0146,Honestly worried my contract will not be renewed once the AI rollout finishes.
R0048,It fails on edge cases and our work is mostly edge cases.
R1060,If the pilot succeeds I do not see why they would keep three of us on this task.
R0826,It fails on edge cases and our work is mostly edge cases.
R0988,It invents numbers and management copies them into reports.
R0411,It invents numbers and management copies them into reports.
R1099,"Even the tone of my emails gets rated, which feels deeply intrusive."
R0339,"People trust the answer because it is well written, not because it is right."
R0383,Honestly worried my contract will not be renewed once the AI rollout finishes.
R0414,Management keeps hinting that the team will be smaller next year because of these tools.
R1160,We stopped training people properly because the tool covers the gaps.
R0365,Promotion scores come from a model nobody can explain.
R1168,Two colleagues did the same work and got very different automated ratings.
R0292,We stopped training people properly because the tool covers the gaps.
R0294,No concerns.
R0310,"Nobody practices the basics now, and it will show in a few years."
R0618,I think half of what I do could be automated before long.
R0028,"Older colleagues get worse recommendations from it, consistently."
R0135,"It penalizes career gaps, which mostly hits women here."
R0261,"People trust the answer because it is well written, not because it is right."
R1094,"Nobody practices the basics now, and it will show in a few years."
R0152,If the pilot succeeds I do not see why they would keep three of us on this task.
R0591,The system was trained on the old boys club data and it shows.
R0491,"The junior positions are disappearing, which is how I got my start."
R0818,Honestly worried my contract will not be renewed once the AI rollout finishes.
R0821,"The junior positions are disappearing, which is how I got my start."
R0542,We had to redo a whole analysis because the tool silently dropped rows.
R0166,"Nobody checks the outputs anymore, that is what scares me."
R0054,It is confidently wrong in ways that are hard to spot.
R0598,The summaries miss the one critical detail surprisingly often.
R0382,The summaries miss the one critical detail surprisingly often.
R1043,New hires cannot troubleshoot anything because the assistant always did it.
R0604,The translations look fluent but change the meaning of contract clauses.
R0127,I cannot take a longer break without the tool flagging it to my lead.
R0506,"It penalizes career gaps, which mostly hits women here."
R0548,We get weekly reports about our own behavior that we never agreed to.
R0041,Juniors never learn to write a memo themselves anymore.
R0824,Clients already ask why they pay us if a model does the first version.
R0555,I am optimistic about it overall.
R0874,Every keystroke is logged and turned into a score now.
R0596,Promotion scores come from a model nobody can explain.
R0345,Promotion scores come from a model nobody can explain.
R0493,New hires cannot troubleshoot anything because the assistant always did it.
R1002,"They will not fire anyone, they just will not replace people who leave."
R0629,"Too many things to name, jobs, privacy, mistakes, all of it."
R0917,I worry I will forget how to do the analysis without the tool.
R0177,I fear my skills will not transfer anywhere once this place fully automates.
R1179,"It penalizes career gaps, which mostly hits women here."
R0641,The system decides my schedule and there is no one to argue with.
R0571,"The junior positions are disappearing, which is how I got my start."
R0045,"Whole occupations like mine have been hollowed out before, this feels similar."
R0718,Promotion scores come from a model nobody can explain.
R0816,Every keystroke is logged and turned into a score now.
R0677,The translations look fluent but change the meaning of contract clauses.
R0763,If the pilot succeeds I do not see why they would keep three of us on this task.
R0899,I fear my skills will not transfer anywhere once this place fully automates.
R0655,"Older colleagues get worse recommendations from it, consistently."
R1109,Last month it merged two clients records and we only noticed by accident.
R0538,"I feel watched all day, the dashboard shows when I am idle."
R1045,New hires cannot troubleshoot anything because the assistant always did it.
R0333,Keeping up with every new tool is exhausting and I am falling behind.
R1058,"Wages in my function have been flat since automation started, that is my real worry."
R0435,"Even the tone of my emails gets rated, which feels deeply intrusive."
R0584,"Even the tone of my emails gets rated, which feels deeply intrusive."
R0973,"When it breaks there is no error, just a plausible wrong answer."
R0214,"Part-timers always end up ranked lower by the algorithm, that cannot be right."
R0627,"Whole occupations like mine have been hollowed out before, this feels similar."
R0246,I am optimistic about it overall.
R0541,There is a productivity index on my profile that follows me around.
R1175,Two colleagues did the same work and got very different automated ratings.
R0471,Keeping up with every new tool is exhausting and I am falling behind.
R0573,"Mixed feelings, it helps daily but something about the whole direction worries me."
R0203,"Part-timers always end up ranked lower by the algorithm, that cannot be right."
R0635,I think half of what I do could be automated before long.
R0768,My own writing is getting worse because I always start from a draft it makes.
R1159,"None really, I find it mostly helpful."
R0716,"The screening tool filters out people with non-Western names, I have seen it."
R0903,Last month it merged two clients records and we only noticed by accident.
R1036,We had to redo a whole analysis because the tool silently dropped rows.
R0088,It is confidently wrong in ways that are hard to spot.
R0564,I fear my skills will not transfer anywhere once this place fully automates.
R0798,My role feels replaceable now that the system drafts most of it.
R1165,It invents numbers and management copies them into reports.
R0107,Juniors never learn to write a memo themselves anymore.
R0301,"I feel watched all day, the dashboard shows when I am idle."
R0057,"When it breaks there is no error, just a plausible wrong answer."
R0018,I fear my skills will not transfer anywhere once this place fully automates.
R0307,Decisions feel arbitrary and there is no appeal process against the model.
R0820,Accent recognition fails for some of us and our quality scores suffer.
R0144,"Whole occupations like mine have been hollowed out before, this feels similar."
R1047,There is a productivity index on my profile that follows me around.
R0396,My calls are transcribed and analyzed without anyone asking me.
R0429,"Too many things to name, jobs, privacy, mistakes, all of it."
R0065,"Wages in my function have been flat since automation started, that is my real worry."
R0356,The summaries miss the one critical detail surprisingly often.
R0474,"Nobody checks the outputs anymore, that is what scares me."
R1044,My own writing is getting worse because I always start from a draft it makes.
R0264,"Nobody checks the outputs anymore, that is what scares me."
R0481,"Wages in my function have been flat since automation started, that is my real worry."
R0778,I think a third of what I do could be automated before long.
R1000,"The craft side of this job is eroding, we just edit machine output."
R0691,I am becoming dependent on it for things I used to do from memory.
R0834,I think a third of what I do could be automated before long.
R0289,"Part-timers always end up ranked lower by the algorithm, that cannot be right."
R1131,Two colleagues did the same work and got very different automated ratings.
R0403,We had to redo a whole analysis because the tool silently dropped rows.
R0027,My own writing is getting worse because I always start from a draft it makes.
R1039,"Even the tone of my emails gets rated, which feels deeply intrusive."
R1150,"Older colleagues get worse recommendations from it, consistently."
R0021,I fear my skills will not transfer anywhere once this place fully automates.
R0996,"The junior positions are disappearing, which is how I got my start."
R0079,There is a productivity index on my profile that follows me around.
R0171,Juniors never learn to write a memo themselves anymore.
R0338,We get weekly reports about our own behavior that we never agreed to.
R1095,We get weekly reports about our own behavior that we never agreed to.
R0860,"Too many things to name, jobs, privacy, mistakes, all of it."
R0006,"Whoever understands the tool best games the metrics, the rest of us lose."
R0011,"I feel watched all day, the dashboard shows when I am idle."
R0994,My calls are transcribed and analyzed without anyone asking me.
R0360,Management keeps hinting that the team will be smaller next year because of these tools.
R0927,Keeping up with every new tool is exhausting and I am falling behind.
R0902,"It is moving faster than our policies, on every front at once."
R0972,"Wages in my function have been flat since automation started, that is my real worry."
R1031,"I feel watched all day, the dashboard shows when I am idle."
R0998,"Autonomy is gone, the system assigns and times everything."
R0705,"Even the tone of my emails gets rated, which feels deeply intrusive."
R0925,"It penalizes career gaps, which mostly hits women here."
R0037,It is confidently wrong in ways that are hard to spot.
R0888,Honestly worried my contract will not be renewed once the AI rollout finishes.
R0110,No concerns.
R1003,"People trust the answer because it is well written, not because it is right."
R0723,"Too many things to name, jobs, privacy, mistakes, all of it."
R0181,"They will not fire anyone, they just will not replace people who leave."
R1106,"Nobody practices the basics now, and it will show in a few years."
R1085,I fear my skills will not transfer anywhere once this place fully automates.
R0550,"Mixed feelings, it helps daily but something about the whole direction worries me."
R0290,We had to redo a whole analysis because the tool silently dropped rows.
R0067,"The technology is fine, the people deciding how to use it worry me."
R0140,We had to redo a whole analysis because the tool silently dropped rows.
R1133,"Too many things to name, jobs, privacy, mistakes, all of it."
R0257,Decisions feel arbitrary and there is no appeal process against the model.
R0653,The system decides my schedule and there is no one to argue with.
R1070,"Whole occupations like mine have been hollowed out before, this feels similar."
R0064,Every keystroke is logged and turned into a score now.
R1162,My role feels replaceable now that the system drafts most of it.
R0521,It is confidently wrong in ways that are hard to spot.
R0510,We stopped training people properly because the tool covers the gaps.
R0364,We had to redo a whole analysis because the tool silently dropped rows.
R0982,"The craft side of this job is eroding, we just edit machine output."
R1051,It tracks how fast I answer messages and my manager brings it up in reviews.
