abstract_id,text
ab019,"We study the relationship between board diversity and firm risk. Using a survey of 1043 employees, we find a negative effect on firm risk. Implications for research and practice are discussed."
ab020,"We study the relationship between algorithmic management and employee voice. Using a survey of 120 employees, we find a negative effect on employee voice. Implications for research and practice are discussed."
ab021,"We study the relationship between green claims and purchase intention. Using a field experiment with 385 participants, we find no detectable effect on purchase intention. Implications for research and practice are discussed."
ab022,"We study the relationship between flexible schedules and turnover. Using in-depth interviews, we find a negative effect on turnover. Implications for research and practice are discussed."
ab023,"We study the relationship between green claims and purchase intention. Using a survey employees, we find mixed evidence regarding purchase intention. Implications for research and practice are discussed."
ab024,"We study the relationship between algorithmic management and employee voice. Using panel data on 240 firms, we find a negative effect on employee voice. Implications for research and practice are discussed."
ab025,"We study the relationship between flexible schedules and turnover. Using in-depth interviews, we find no detectable effect on turnover. Implications for research and practice are discussed."
ab026,"We study the relationship between AI adoption and job satisfaction. Using in-depth interviews, we find mixed evidence regarding job satisfaction. Implications for research and practice are discussed."
ab027,"We study the relationship between algorithmic management and employee voice. Using panel data on 120 firms, we find mixed evidence regarding employee voice. Implications for research and practice are discussed."
ab028,"We study the relationship between algorithmic management and employee voice. Using in-depth interviews, we find no detectable effect on employee voice. Implications for research and practice are discussed."
ab029,"We study the relationship between remote work and productivity. Using panel data on 1043 firms, we find a positive association with productivity. Implications for research and practice are discussed."
ab030,"We study the relationship between AI adoption and job satisfaction. Using a lab experiment (2210 students), we find a negative effect on job satisfaction. Implications for research and practice are discussed."
ab031,"We study the relationship between board diversity and firm risk. Using in-depth interviews, we find no detectable effect on firm risk. Implications for research and practice are discussed."
ab032,"We study the relationship between green claims and purchase intention. Using panel data on 1043 firms, we find no detectable effect on purchase intention. Implications for research and practice are discussed."
ab033,"We study the relationship between board diversity and firm risk. Using a lab experiment, we find mixed evidence regarding firm risk. Implications for research and practice are discussed."
ab034,"We study the relationship between flexible schedules and turnover. Using difference-in-differences on register data, we find mixed evidence regarding turnover. Implications for research and practice are discussed."
ab035,"We study the relationship between flexible schedules and turnover. Using a lab experiment (385 students), we find mixed evidence regarding turnover. Implications for research and practice are discussed."
ab036,"We study the relationship between gamification and learning outcomes. Using difference-in-differences on register data, we find a negative effect on learning outcomes. Implications for research and practice are discussed."
ab037,"We study the relationship between remote work and productivity. Using a field experiment with 2210 participants, we find a positive association with productivity. Implications for research and practice are discussed."
ab038,"We study the relationship between flexible schedules and turnover. Using a survey of 512 employees, we find no detectable effect on turnover. Implications for research and practice are discussed."
ab039,"We study the relationship between flexible schedules and turnover. Using in-depth interviews, we find a negative effect on turnover. Implications for research and practice are discussed."
ab040,"We study the relationship between gamification and learning outcomes. Using difference-in-differences on register data, we find mixed evidence regarding learning outcomes. Implications for research and practice are discussed."
ab041,"We study the relationship between flexible schedules and turnover. Using a field experiment with 2210 participants, we find a negative effect on turnover. Implications for research and practice are discussed."
ab042,"We study the relationship between AI adoption and job satisfaction. Using in-depth interviews, we find no detectable effect on job satisfaction. Implications for research and practice are discussed."
ab043,"We study the relationship between remote work and productivity. Using a lab experiment, we find a positive association with productivity. Implications for research and practice are discussed."
ab044,"We study the relationship between green claims and purchase intention. Using in-depth interviews, we find mixed evidence regarding purchase intention. Implications for research and practice are discussed."
ab045,"We study the relationship between board diversity and firm risk. Using a lab experiment (120 students), we find a positive association with firm risk. Implications for research and practice are discussed."
ab046,"We study the relationship between remote work and productivity. Using difference-in-differences on register data, we find a negative effect on productivity. Implications for research and practice are discussed."
ab047,"We study the relationship between board diversity and firm risk. Using a lab experiment (385 students), we find a positive association with firm risk. Implications for research and practice are discussed."
ab048,"We study the relationship between algorithmic management and employee voice. Using in-depth interviews, we find mixed evidence regarding employee voice. Implications for research and practice are discussed."
ab049,"We study the relationship between remote work and productivity. Using a field experiment, we find a negative effect on productivity. Implications for research and practice are discussed."
ab050,"We study the relationship between gamification and learning outcomes. Using a field experiment with 120 participants, we find a negative effect on learning outcomes. Implications for research and practice are discussed."
ab051,"We study the relationship between AI adoption and job satisfaction. Using a field experiment with 512 participants, we find a positive association with job satisfaction. Implications for research and practice are discussed."
ab052,"We study the relationship between flexible schedules and turnover. Using in-depth interviews, we find no detectable effect on turnover. Implications for research and practice are discussed."
ab053,"We study the relationship between remote work and productivity. Using a field experiment with 2210 participants, we find a negative effect on productivity. Implications for research and practice are discussed."
ab054,"We study the relationship between crowdfunding signals and funding success. Using a field experiment, we find no detectable effect on funding success. Implications for research and practice are discussed."
ab055,"We study the relationship between algorithmic management and employee voice. Using a lab experiment (240 students), we find no detectable effect on employee voice. Implications for research and practice are discussed."
ab056,"We study the relationship between flexible schedules and turnover. Using a lab experiment (240 students), we find a negative effect on turnover. Implications for research and practice are discussed."
ab057,"We study the relationship between AI adoption and job satisfaction. Using difference-in-differences on register data, we find a negative effect on job satisfaction. Implications for research and practice are discussed."
ab058,"We study the relationship between crowdfunding signals and funding success. Using a survey of 512 employees, we find a positive association with funding success. Implications for research and practice are discussed."
ab059,"We study the relationship between gamification and learning outcomes. Using in-depth interviews, we find mixed evidence regarding learning outcomes. Implications for research and practice are discussed."
ab060,"We study the relationship between crowdfunding signals and funding success. Using panel data on 1043 firms, we find no detectable effect on funding success. Implications for research and practice are discussed."
ab061,"We study the relationship between remote work and productivity. Using panel data on 512 firms, we find a negative effect on productivity. Implications for research and practice are discussed."
ab062,"We study the relationship between remote work and productivity. Using in-depth interviews, we find a positive association with productivity. Implications for research and practice are discussed."
ab063,"We study the relationship between AI adoption and job satisfaction. Using difference-in-differences on register data, we find no detectable effect on job satisfaction. Implications for research and practice are discussed."
ab064,"We study the relationship between AI adoption and job satisfaction. Using a field experiment with 385 participants, we find a positive association with job satisfaction. Implications for research and practice are discussed."
ab065,"We study the relationship between remote work and productivity. Using in-depth interviews, we find a negative effect on productivity. Implications for research and practice are discussed."
ab066,"We study the relationship between flexible schedules and turnover. Using a field experiment with 120 participants, we find a negative effect on turnover. Implications for research and practice are discussed."
ab067,"We study the relationship between remote work and productivity. Using panel data on 1043 firms, we find a positive association with productivity. Implications for research and practice are discussed."
ab068,"We study the relationship between crowdfunding signals and funding success. Using a survey of 2210 employees, we find a positive association with funding success. Implications for research and practice are discussed."
ab069,"We study the relationship between algorithmic management and employee voice. Using a survey of 120 employees, we find a positive association with employee voice. Implications for research and practice are discussed."
ab070,"We study the relationship between green claims and purchase intention. Using a survey employees, we find mixed evidence regarding purchase intention. Implications for research and practice are discussed."
ab071,"We study the relationship between algorithmic management and employee voice. Using a survey employees, we find a positive association with employee voice. Implications for research and practice are discussed."
ab072,"We study the relationship between flexible schedules and turnover. Using in-depth interviews, we find mixed evidence regarding turnover. Implications for research and practice are discussed."
ab073,"We study the relationship between AI adoption and job satisfaction. Using a lab experiment (2210 students), we find mixed evidence regarding job satisfaction. Implications for research and practice are discussed."
ab074,"We study the relationship between board diversity and firm risk. Using in-depth interviews, we find a positive association with firm risk. Implications for research and practice are discussed."
ab075,"We study the relationship between gamification and learning outcomes. Using difference-in-differences on register data, we find mixed evidence regarding learning outcomes. Implications for research and practice are discussed."
ab076,"We study the relationship between gamification and learning outcomes. Using a lab experiment, we find a positive association with learning outcomes. Implications for research and practice are discussed."
ab077,"We study the relationship between algorithmic management and employee voice. Using a lab experiment (240 students), we find no detectable effect on employee voice. Implications for research and practice are discussed."
ab078,"We study the relationship between flexible schedules and turnover. Using panel data on 512 firms, we find mixed evidence regarding turnover. Implications for research and practice are discussed."
ab079,"We study the relationship between green claims and purchase intention. Using a field experiment with 240 participants, we find a positive association with purchase intention. Implications for research and practice are discussed."
ab080,"We study the relationship between green claims and purchase intention. Using panel data on 1043 firms, we find a negative effect on purchase intention. Implications for research and practice are discussed."
ab081,"We study the relationship between flexible schedules and turnover. Using a lab experiment (1043 students), we find no detectable effect on turnover. Implications for research and practice are discussed."
ab082,"We study the relationship between crowdfunding signals and funding success. Using panel data on 1043 firms, we find a negative effect on funding success. Implications for research and practice are discussed."
ab083,"We study the relationship between remote work and productivity. Using a lab experiment (1043 students), we find no detectable effect on productivity. Implications for research and practice are discussed."
ab084,"We study the relationship between remote work and productivity. Using a field experiment with 1043 participants, we find a positive association with productivity. Implications for research and practice are discussed."
ab085,"We study the relationship between board diversity and firm risk. Using panel data on 240 firms, we find no detectable effect on firm risk. Implications for research and practice are discussed."
ab086,"We study the relationship between algorithmic management and employee voice. Using panel data on 240 firms, we find mixed evidence regarding employee voice. Implications for research and practice are discussed."
ab087,"We study the relationship between gamification and learning outcomes. Using a lab experiment (1043 students), we find a negative effect on learning outcomes. Implications for research and practice are discussed."
ab088,"We study the relationship between board diversity and firm risk. Using panel data, we find a positive association with firm risk. Implications for research and practice are discussed."
ab089,"We study the relationship between crowdfunding signals and funding success. Using a field experiment with 120 participants, we find no detectable effect on funding success. Implications for research and practice are discussed."
ab090,"We study the relationship between crowdfunding signals and funding success. Using a lab experiment, we find a negative effect on funding success. Implications for research and practice are discussed."
ab091,"We study the relationship between board diversity and firm risk. Using a field experiment, we find a positive association with firm risk. Implications for research and practice are discussed."
ab092,"We study the relationship between gamification and learning outcomes. Using a survey of 120 employees, we find a positive association with learning outcomes. Implications for research and practice are discussed."
ab093,"We study the relationship between green claims and purchase intention. Using panel data, we find a negative effect on purchase intention. Implications for research and practice are discussed."
ab094,"We study the relationship between remote work and productivity. Using a survey employees, we find no detectable effect on productivity. Implications for research and practice are discussed."
ab095,"We study the relationship between AI adoption and job satisfaction. Using panel data, we find no detectable effect on job satisfaction. Implications for research and practice are discussed."
ab096,"We study the relationship between green claims and purchase intention. Using a field experiment, we find a negative effect on purchase intention. Implications for research and practice are discussed."
ab097,"We study the relationship between algorithmic management and employee voice. Using a survey employees, we find a positive association with employee voice. Implications for research and practice are discussed."
ab098,"We study the relationship between gamification and learning outcomes. Using a field experiment with 385 participants, we find a negative effect on learning outcomes. Implications for research and practice are discussed."
ab099,"We study the relationship between gamification and learning outcomes. Using difference-in-differences on register data, we find mixed evidence regarding learning outcomes. Implications for research and practice are discussed."
ab100,"We study the relationship between algorithmic management and employee voice. Using a survey of 240 employees, we find no detectable effect on employee voice. Implications for research and practice are discussed."
ab101,"We study the relationship between AI adoption and job satisfaction. Using a field experiment with 1043 participants, we find a negative effect on job satisfaction. Implications for research and practice are discussed."
ab102,"We study the relationship between gamification and learning outcomes. Using a lab experiment (512 students), we find no detectable effect on learning outcomes. Implications for research and practice are discussed."
ab103,"We study the relationship between remote work and productivity. Using a lab experiment, we find a negative effect on productivity. Implications for research and practice are discussed."
ab104,"We study the relationship between green claims and purchase intention. Using panel data, we find a negative effect on purchase intention. Implications for research and practice are discussed."
ab105,"We study the relationship between green claims and purchase intention. Using a lab experiment (1043 students), we find no detectable effect on purchase intention. Implications for research and practice are discussed."
ab106,"We study the relationship between algorithmic management and employee voice. Using in-depth interviews, we find no detectable effect on employee voice. Implications for research and practice are discussed."
ab107,"We study the relationship between board diversity and firm risk. Using difference-in-differences on register data, we find mixed evidence regarding firm risk. Implications for research and practice are discussed."
ab108,"We study the relationship between green claims and purchase intention. Using panel data on 2210 firms, we find mixed evidence regarding purchase intention. Implications for research and practice are discussed."
ab109,"We study the relationship between crowdfunding signals and funding success. Using in-depth interviews, we find a positive association with funding success. Implications for research and practice are discussed."
ab110,"We study the relationship between AI adoption and job satisfaction. Using a field experiment with 240 participants, we find no detectable effect on job satisfaction. Implications for research and practice are discussed."
ab111,"We study the relationship between board diversity and firm risk. Using a field experiment with 385 participants, we find mixed evidence regarding firm risk. Implications for research and practice are discussed."
ab112,"We study the relationship between green claims and purchase intention. Using panel data on 385 firms, we find no detectable effect on purchase intention. Implications for research and practice are discussed."
ab113,"We study the relationship between algorithmic management and employee voice. Using panel data on 512 firms, we find no detectable effect on employee voice. Implications for research and practice are discussed."
ab114,"We study the relationship between remote work and productivity. Using in-depth interviews, we find mixed evidence regarding productivity. Implications for research and practice are discussed."
ab115,"We study the relationship between crowdfunding signals and funding success. Using in-depth interviews, we find mixed evidence regarding funding success. Implications for research and practice are discussed."
ab116,"We study the relationship between gamification and learning outcomes. Using panel data, we find mixed evidence regarding learning outcomes. Implications for research and practice are discussed."
ab117,"We study the relationship between AI adoption and job satisfaction. Using panel data, we find a positive association with job satisfaction. Implications for research and practice are discussed."
ab118,"We study the relationship between flexible schedules and turnover. Using a lab experiment (1043 students), we find a positive association with turnover. Implications for research and practice are discussed."
ab119,"We study the relationship between flexible schedules and turnover. Using a field experiment, we find a negative effect on turnover. Implications for research and practice are discussed."
ab120,"We study the relationship between remote work and productivity. Using a lab experiment (240 students), we find a negative effect on productivity. Implications for research and practice are discussed."
ab121,"We study the relationship between flexible schedules and turnover. Using panel data on 2210 firms, we find a negative effect on turnover. Implications for research and practice are discussed."
ab122,"We study the relationship between AI adoption and job satisfaction. Using difference-in-differences on register data, we find a negative effect on job satisfaction. Implications for research and practice are discussed."
ab123,"We study the relationship between remote work and productivity. Using panel data on 385 firms, we find mixed evidence regarding productivity. Implications for research and practice are discussed."
ab124,"We study the relationship between board diversity and firm risk. Using a lab experiment, we find no detectable effect on firm risk. Implications for research and practice are discussed."
ab125,"We study the relationship between board diversity and firm risk. Using a field experiment with 240 participants, we find no detectable effect on firm risk. Implications for research and practice are discussed."
ab126,"We study the relationship between crowdfunding signals and funding success. Using a field experiment with 1043 participants, we find mixed evidence regarding funding success. Implications for research and practice are discussed."
ab127,"We study the relationship between crowdfunding signals and funding success. Using panel data on 120 firms, we find no detectable effect on funding success. Implications for research and practice are discussed."
ab128,"We study the relationship between board diversity and firm risk. Using difference-in-differences on register data, we find mixed evidence regarding firm risk. Implications for research and practice are discussed."
ab129,"We study the relationship between remote work and productivity. Using panel data on 240 firms, we find no detectable effect on productivity. Implications for research and practice are discussed."
ab130,"We study the relationship between flexible schedules and turnover. Using difference-in-differences on register data, we find a negative effect on turnover. Implications for research and practice are discussed."
ab131,"We study the relationship between gamification and learning outcomes. Using a field experiment with 512 participants, we find mixed evidence regarding learning outcomes. Implications for research and practice are discussed."
ab132,"We study the relationship between flexible schedules and turnover. Using panel data, we find a positive association with turnover. Implications for research and practice are discussed."
ab133,"We study the relationship between green claims and purchase intention. Using a field experiment with 385 participants, we find mixed evidence regarding purchase intention. Implications for research and practice are discussed."
ab134,"We study the relationship between board diversity and firm risk. Using a field experiment, we find mixed evidence regarding firm risk. Implications for research and practice are discussed."
ab135,"We study the relationship between AI adoption and job satisfaction. Using in-depth interviews, we find mixed evidence regarding job satisfaction. Implications for research and practice are discussed."
ab136,"We study the relationship between flexible schedules and turnover. Using a survey employees, we find no detectable effect on turnover. Implications for research and practice are discussed."
ab137,"We study the relationship between remote work and productivity. Using difference-in-differences on register data, we find no detectable effect on productivity. Implications for research and practice are discussed."
ab138,"We study the relationship between AI adoption and job satisfaction. Using a survey of 512 employees, we find no detectable effect on job satisfaction. Implications for research and practice are discussed."
ab139,"We study the relationship between flexible schedules and turnover. Using difference-in-differences on register data, we find a positive association with turnover. Implications for research and practice are discussed."
ab140,"We study the relationship between gamification and learning outcomes. Using a lab experiment, we find mixed evidence regarding learning outcomes. Implications for research and practice are discussed."
ab141,"We study the relationship between board diversity and firm risk. Using a field experiment, we find mixed evidence regarding firm risk. Implications for research and practice are discussed."
ab142,"We study the relationship between crowdfunding signals and funding success. Using difference-in-differences on register data, we find no detectable effect on funding success. Implications for research and practice are discussed."
ab143,"We study the relationship between green claims and purchase intention. Using a field experiment with 385 participants, we find mixed evidence regarding purchase intention. Implications for research and practice are discussed."
ab144,"We study the relationship between green claims and purchase intention. Using a lab experiment (1043 students), we find no detectable effect on purchase intention. Implications for research and practice are discussed."
ab145,"We study the relationship between crowdfunding signals and funding success. Using panel data, we find no detectable effect on funding success. Implications for research and practice are discussed."
ab146,"We study the relationship between crowdfunding signals and funding success. Using a survey of 512 employees, we find no detectable effect on funding success. Implications for research and practice are discussed."
ab147,"We study the relationship between gamification and learning outcomes. Using a lab experiment (512 students), we find a positive association with learning outcomes. Implications for research and practice are discussed."
ab148,"We study the relationship between algorithmic management and employee voice. Using panel data on 2210 firms, we find mixed evidence regarding employee voice. Implications for research and practice are discussed."
ab149,"We study the relationship between gamification and learning outcomes. Using difference-in-differences on register data, we find mixed evidence regarding learning outcomes. Implications for research and practice are discussed."
ab150,"We study the relationship between green claims and purchase intention. Using in-depth interviews, we find mixed evidence regarding purchase intention. Implications for research and practice are discussed."
